WKT,name,prov,date,key
"POINT (-98.972025 29.372798)",Crotalus atrox,gbif,2024/04/06,4607242651
"POINT (-97.399294 30.675139)",Crotalus atrox,gbif,2024/04/06,4607183170
"POINT (-111.059539 32.197212)",Crotalus atrox,gbif,2024/04/06,4607633833
"POINT (-97.708093 30.481371)",Crotalus atrox,gbif,2024/04/06,4607616664
"POINT (-99.077391 30.018688)",Crotalus atrox,gbif,2024/04/06,4607261553
"POINT (-98.231204 29.580123)",Crotalus atrox,gbif,2024/04/07,4607261735
"POINT (-98.25882 30.587195)",Crotalus atrox,gbif,2024/04/08,4852737221
"POINT (-98.123695 30.364151)",Crotalus atrox,gbif,2024/04/08,4607321391
"POINT (-97.64363 30.847433)",Crotalus atrox,gbif,2024/04/08,4607136468
"POINT (-98.042694 30.535937)",Crotalus atrox,gbif,2024/04/08,4606831303
"POINT (-110.717763 32.184212)",Crotalus atrox,gbif,2024/04/08,4607653506
"POINT (-98.793727 29.442792)",Crotalus atrox,gbif,2024/04/02,4606778630
"POINT (-98.164326 26.988532)",Crotalus atrox,gbif,2024/04/09,4606831454
"POINT (-110.622558 32.078261)",Crotalus atrox,gbif,2024/04/08,4607535033
"POINT (-98.376328 29.394972)",Crotalus atrox,gbif,2024/04/09,4607346182
"POINT (-111.813707 33.777018)",Crotalus atrox,gbif,2024/04/07,4607643417
"POINT (-97.781744 27.221872)",Crotalus atrox,gbif,2024/04/06,4607362973
"POINT (-97.776391 27.320775)",Crotalus atrox,gbif,2024/04/06,4607623559
"POINT (-112.738363 32.27805)",Crotalus atrox,gbif,2024/04/09,4607560611
"POINT (-110.886195 32.34057)",Crotalus atrox,gbif,2024/04/09,4606732035
"POINT (-98.607262 29.579238)",Crotalus atrox,gbif,2024/04/10,4607280580
"POINT (-110.90587 32.426508)",Crotalus atrox,gbif,2024/04/09,4846848857
"POINT (-111.976867 33.662894)",Crotalus atrox,gbif,2024/04/08,4846850025
"POINT (-111.976639 33.662219)",Crotalus atrox,gbif,2024/04/10,4846798977
"POINT (-100.874911 31.152006)",Crotalus atrox,gbif,2024/04/11,4846825276
"POINT (-115.359071 33.632898)",Crotalus atrox,gbif,2024/04/10,4846898478
"POINT (-112.275812 33.841072)",Crotalus atrox,gbif,2024/04/11,4846752014
"POINT (-112.232765 33.948768)",Crotalus atrox,gbif,2024/04/11,4846896543
"POINT (-98.073722 29.634592)",Crotalus atrox,gbif,2024/04/11,4846835172
"POINT (-111.028914 32.419555)",Crotalus atrox,gbif,2024/04/12,4847062327
"POINT (-110.895153 32.555151)",Crotalus atrox,gbif,2024/04/12,4846873948
"POINT (-110.986697 32.581718)",Crotalus atrox,gbif,2024/04/12,4847124294
"POINT (-97.555668 30.202835)",Crotalus atrox,gbif,2024/04/11,4847192147
"POINT (-97.482598 30.254285)",Crotalus atrox,gbif,2024/04/11,4846900410
"POINT (-97.474979 30.220541)",Crotalus atrox,gbif,2024/04/11,4847144144
"POINT (-97.481265 30.302792)",Crotalus atrox,gbif,2024/04/11,4847183051
"POINT (-96.518487 28.44607)",Crotalus atrox,gbif,2024/04/08,4846872189
"POINT (-99.048811 28.428594)",Crotalus atrox,gbif,2024/04/12,4847207889
"POINT (-98.506568 30.05311)",Crotalus atrox,gbif,2024/04/13,4846982693
"POINT (-100.366867 31.192512)",Crotalus atrox,gbif,2024/04/13,4846963616
"POINT (-97.338683 31.767225)",Crotalus atrox,gbif,2024/04/13,4846766230
"POINT (-112.096903 33.746832)",Crotalus atrox,gbif,2024/04/13,4846838231
"POINT (-98.390452 33.76158)",Crotalus atrox,gbif,2024/04/12,4846988208
"POINT (-112.458268 33.677468)",Crotalus atrox,gbif,2024/04/13,4847179880
"POINT (-112.14967 34.065237)",Crotalus atrox,gbif,2024/04/14,4847208175
"POINT (-101.782123 33.552104)",Crotalus atrox,gbif,2024/04/14,4847226967
"POINT (-101.782123 33.552102)",Crotalus atrox,gbif,2024/04/14,4846903120
"POINT (-100.852649 34.89902)",Crotalus atrox,gbif,2024/04/14,4847090736
"POINT (-115.946719 33.778567)",Crotalus atrox,gbif,2024/04/14,4847029455
"POINT (-101.781944 33.549371)",Crotalus atrox,gbif,2024/04/14,4847225427
"POINT (-101.784001 33.553015)",Crotalus atrox,gbif,2024/04/14,4847017721
"POINT (-101.783974 33.552241)",Crotalus atrox,gbif,2024/04/14,4847250585
"POINT (-101.784375 33.552102)",Crotalus atrox,gbif,2024/04/14,4847035444
"POINT (-112.29375 33.82081)",Crotalus atrox,gbif,2024/04/12,4847037373
"POINT (-99.799827 30.450021)",Crotalus atrox,gbif,2024/04/08,4847165116
"POINT (-105.130142 33.69407)",Crotalus atrox,gbif,2024/04/14,4847089066
"POINT (-105.125861 33.693845)",Crotalus atrox,gbif,2024/04/14,4846909109
"POINT (-105.125489 33.69353)",Crotalus atrox,gbif,2024/04/14,4847255630
"POINT (-105.125739 33.693713)",Crotalus atrox,gbif,2024/04/14,4847224568
"POINT (-105.12538 33.693045)",Crotalus atrox,gbif,2024/04/14,4847162637
"POINT (-105.125878 33.693855)",Crotalus atrox,gbif,2024/04/14,4847197456
"POINT (-115.946762 33.778513)",Crotalus atrox,gbif,2024/04/14,4847031546
"POINT (-98.598489 34.733924)",Crotalus atrox,gbif,2024/04/14,4847029642
"POINT (-111.2534 32.61777)",Crotalus atrox,gbif,2024/04/13,4847079352
"POINT (-98.344895 26.002968)",Crotalus atrox,gbif,2024/04/13,4847025159
"POINT (-97.875787 30.49133)",Crotalus atrox,gbif,2024/04/15,4846976265
"POINT (-97.872378 30.064643)",Crotalus atrox,gbif,2024/04/16,4852722040
"POINT (-103.860558 32.345537)",Crotalus atrox,gbif,2024/04/12,4852671238
"POINT (-100.624242 26.481674)",Crotalus atrox,gbif,2024/04/13,4852702949
"POINT (-112.298399 33.948753)",Crotalus atrox,gbif,2024/04/16,4852814381
"POINT (-103.087067 29.242228)",Crotalus atrox,gbif,2024/04/17,4852834802
"POINT (-98.12583 30.364213)",Crotalus atrox,gbif,2024/04/17,4852237294
"POINT (-111.838772 33.77165)",Crotalus atrox,gbif,2024/04/17,4852951234
"POINT (-111.841226 33.767969)",Crotalus atrox,gbif,2024/04/17,4852137051
"POINT (-111.216339 32.29531)",Crotalus atrox,gbif,2024/04/15,4852064762
"POINT (-111.181266 32.460845)",Crotalus atrox,gbif,2024/04/17,4851850429
"POINT (-97.900071 30.28647)",Crotalus atrox,gbif,2024/04/17,4851933348
"POINT (-112.709555 32.011172)",Crotalus atrox,gbif,2024/04/13,4852457248
"POINT (-110.559255 31.599874)",Crotalus atrox,gbif,2024/04/17,4852033921
"POINT (-111.714077 33.502612)",Crotalus atrox,gbif,2024/04/17,4852810511
"POINT (-98.509567 29.020347)",Crotalus atrox,gbif,2024/04/11,4852241767
"POINT (-97.879574 30.583692)",Crotalus atrox,gbif,2024/04/17,4851879371
"POINT (-111.612953 33.468862)",Crotalus atrox,gbif,2024/04/17,4852882557
"POINT (-98.759448 34.780615)",Crotalus atrox,gbif,2024/04/13,4852241860
"POINT (-97.94334 30.152724)",Crotalus atrox,gbif,2024/04/18,4851860272
"POINT (-94.971591 35.792772)",Crotalus atrox,gbif,2024/04/11,4851900473
"POINT (-111.814449 33.611609)",Crotalus atrox,gbif,2024/04/16,4852991404
"POINT (-114.492445 32.825597)",Crotalus atrox,gbif,2024/04/15,4851787361
"POINT (-114.245046 32.709205)",Crotalus atrox,gbif,2024/04/18,4852170126
"POINT (-97.737563 29.856562)",Crotalus atrox,gbif,2024/04/18,4852883000
"POINT (-110.726557 32.220032)",Crotalus atrox,gbif,2024/04/04,4852838813
"POINT (-97.478528 26.017593)",Crotalus atrox,gbif,2024/04/19,4852031585
"POINT (-97.79044 26.903955)",Crotalus atrox,gbif,2024/04/15,4851867125
"POINT (-97.78173 29.793125)",Crotalus atrox,gbif,2024/04/18,4852840718
"POINT (-104.40783 33.43738)",Crotalus atrox,gbif,2024/04/19,4852301282
"POINT (-110.937242 32.472187)",Crotalus atrox,gbif,2024/04/19,4853000784
"POINT (-110.897413 32.408985)",Crotalus atrox,gbif,2024/04/19,4852808062
"POINT (-110.822912 32.44988)",Crotalus atrox,gbif,2024/04/19,4852031728
"POINT (-98.859365 26.569708)",Crotalus atrox,gbif,2024/04/16,4851899045
"POINT (-98.89402 26.869812)",Crotalus atrox,gbif,2024/04/16,4851767768
"POINT (-111.951538 33.893283)",Crotalus atrox,gbif,2024/04/13,4852044984
"POINT (-98.604347 27.357577)",Crotalus atrox,gbif,2024/04/17,4851776827
"POINT (-114.002664 32.248719)",Crotalus atrox,gbif,2024/04/19,4852843405
"POINT (-111.1996 32.315838)",Crotalus atrox,gbif,2024/04/20,4852108996
"POINT (-97.769933 26.717022)",Crotalus atrox,gbif,2024/04/14,4852204628
"POINT (-110.956608 32.473597)",Crotalus atrox,gbif,2024/04/19,4851926138
"POINT (-110.807953 32.168003)",Crotalus atrox,gbif,2024/04/20,4851960914
"POINT (-112.145993 33.804439)",Crotalus atrox,gbif,2024/04/20,4851882741
