WKT,name,prov,date,key
"POINT (-117.854722 35.666508)",Crotalus scutulatus,gbif,2023/05/19,4121332585
"POINT (-110.745161 31.354937)",Crotalus scutulatus,gbif,2023/05/16,4121276743
"POINT (-115.029313 35.498287)",Crotalus scutulatus,gbif,2023/05/19,4121261453
"POINT (-109.758383 32.195586)",Crotalus scutulatus,gbif,2023/05/18,4121252644
"POINT (-117.86715 34.780878)",Crotalus scutulatus,gbif,2023/05/16,4121431579
"POINT (-117.946778 34.61729)",Crotalus scutulatus,gbif,2023/05/16,4121333060
"POINT (-117.930247 34.752607)",Crotalus scutulatus,gbif,2023/05/16,4121196233
"POINT (-117.949058 34.669328)",Crotalus scutulatus,gbif,2023/05/16,4121257877
"POINT (-117.905183 34.699314)",Crotalus scutulatus,gbif,2023/05/16,4121213506
"POINT (-117.719647 34.721947)",Crotalus scutulatus,gbif,2023/05/16,4120840062
"POINT (-117.724408 34.655908)",Crotalus scutulatus,gbif,2023/05/16,4120981829
"POINT (-117.859178 35.666492)",Crotalus scutulatus,gbif,2023/05/21,4121104777
"POINT (-117.853845 35.666405)",Crotalus scutulatus,gbif,2023/05/21,4121308794
"POINT (-101.091699 22.786643)",Crotalus scutulatus,gbif,2023/05/17,4121037234
"POINT (-111.010178 31.879717)",Crotalus scutulatus,gbif,2023/05/24,4127201003
"POINT (-116.483259 34.153872)",Crotalus scutulatus,gbif,2023/05/24,4127068099
"POINT (-117.940401 34.496635)",Crotalus scutulatus,gbif,2023/05/27,4127400019
"POINT (-118.329672 34.776789)",Crotalus scutulatus,gbif,2023/05/15,4126875557
"POINT (-110.653255 31.771169)",Crotalus scutulatus,gbif,2023/05/27,4127103969
"POINT (-116.748328 34.379733)",Crotalus scutulatus,gbif,2023/05/24,4127343541
"POINT (-114.2025 32.312592)",Crotalus scutulatus,gbif,2023/05/30,4129726872
"POINT (-113.127078 35.464195)",Crotalus scutulatus,gbif,2023/05/30,4129835508
"POINT (-113.110071 35.450723)",Crotalus scutulatus,gbif,2023/05/30,4129750589
"POINT (-111.395997 32.417554)",Crotalus scutulatus,gbif,2023/05/30,4129978001
"POINT (-103.994174 30.407268)",Crotalus scutulatus,gbif,2023/05/08,4130253639
"POINT (-118.28374 34.731829)",Crotalus scutulatus,gbif,2023/05/21,4134010550
"POINT (-117.842527 34.461951)",Crotalus scutulatus,gbif,2023/05/13,4413387157
